,from,to,strength,AuthorRep_from,AuthorRep_to
2478,1810087.0,4117728.0,1,4876,86693
2479,1387438.0,4117728.0,1,27265,86693
2480,1968.0,4117728.0,2,504026,86693
2481,5105949.0,4117728.0,8,10278,86693
2482,25324.0,4117728.0,1,102924,86693
2483,448932.0,4117728.0,1,27498,86693
2484,16406.0,4117728.0,7,109612,86693
2485,4573247.0,4117728.0,1,64659,86693
2486,106104.0,4117728.0,2,49108,86693
2487,14501754.0,4117728.0,1,17,86693
2488,12216053.0,4117728.0,1,345,86693
2489,16287.0,4117728.0,1,54591,86693
2490,4442671.0,4117728.0,1,18036,86693
2491,16844872.0,4117728.0,1,31,86693
2492,6483524.0,4117728.0,4,1039,86693
2493,7976805.0,4117728.0,3,14949,86693
2494,3282436.0,4117728.0,1,10120,86693
2495,16339667.0,4117728.0,3,37,86693
2496,3001150.0,4117728.0,1,2471,86693
2497,2904251.0,4117728.0,4,61,86693
2498,1541563.0,4117728.0,1,44344,86693
2499,7421020.0,4117728.0,3,590,86693
2500,27678.0,4117728.0,2,37764,86693
2501,15421744.0,4117728.0,3,147,86693
2502,897728.0,4117728.0,1,1602,86693
2503,16941344.0,4117728.0,2,25,86693
2504,14349078.0,4117728.0,2,278,86693
2505,17386726.0,4117728.0,1,19,86693
2506,2864275.0,4117728.0,1,21628,86693
2507,10897255.0,4117728.0,1,115,86693
2508,10956192.0,4117728.0,1,169,86693
2509,7703024.0,4117728.0,1,11233,86693
2510,10686048.0,4117728.0,1,7099,86693
2511,8997916.0,4117728.0,1,2712,86693
2512,1469714.0,4117728.0,1,3128,86693
2513,16918118.0,4117728.0,1,11,86693
2514,321013.0,4117728.0,1,35131,86693
2515,1607937.0,4117728.0,1,1712,86693
2516,14880790.0,13841248.0,78,27,2821
2517,14880790.0,3485434.0,15,27,1
2518,16499373.0,3485434.0,15,61,1
2519,4401070.0,3485434.0,1,40,1
2520,12730112.0,3485434.0,2,3786,1
2521,15924157.0,3485434.0,2,103,1
2522,5359846.0,3485434.0,1,1081,1
2523,14880790.0,14694981.0,3,27,349
2524,14880790.0,14322804.0,2,27,131
2525,14880790.0,9444073.0,2,27,25747
2526,16499373.0,9444073.0,1,61,25747
2527,11869416.0,9444073.0,7,129,25747
2528,4401070.0,9444073.0,6,40,25747
2529,16964221.0,9444073.0,1,1,25747
2530,5459839.0,7913031.0,72,257338,714
2531,5424988.0,7913031.0,53,123570,714
2532,8237835.0,7913031.0,30,3587,714
2533,8416201.0,7913031.0,13,1108,714
2534,5459839.0,169992.0,14,257338,69336
2535,1243641.0,169992.0,26,43565,69336
2536,52443.0,169992.0,23,57421,69336
2537,1048572.0,169992.0,19,564955,69336
2538,5483526.0,169992.0,7,44769,69336
2539,815724.0,169992.0,5,30562,69336
2540,12540500.0,169992.0,2,1834,69336
2541,5459839.0,5092008.0,10,257338,790
2542,17143806.0,5092008.0,1,9,790
2543,8053975.0,5092008.0,1,602,790
2544,5459839.0,1243641.0,9,257338,43565
2545,169992.0,1243641.0,19,69336,43565
2546,849891.0,1243641.0,4,68615,43565
2547,52443.0,1243641.0,7,57421,43565
2548,1048572.0,1243641.0,4,564955,43565
2549,295783.0,1243641.0,1,153438,43565
2550,8779395.0,1243641.0,2,594,43565
2551,1175966.0,1243641.0,2,168807,43565
2552,2627243.0,1243641.0,9,7934,43565
2553,1447675.0,1243641.0,4,348315,43565
2554,633183.0,1243641.0,7,117695,43565
2555,16540390.0,1243641.0,1,3216,43565
2556,7204671.0,1243641.0,4,363,43565
2557,12361700.0,1243641.0,1,10422,43565
2558,10669010.0,1243641.0,3,16528,43565
2559,10549313.0,1243641.0,2,4807,43565
2560,8199818.0,1243641.0,1,426,43565
2561,15466298.0,1243641.0,4,15,43565
2562,2306481.0,1243641.0,2,3677,43565
2563,1444609.0,1243641.0,2,21863,43565
2564,7448536.0,1243641.0,3,2188,43565
2565,87713.0,1243641.0,2,3024,43565
2566,1022919.0,1243641.0,3,6270,43565
2567,14744195.0,1243641.0,1,83,43565
2568,11697936.0,1243641.0,2,1440,43565
2569,14265749.0,1243641.0,1,1092,43565
2570,5157454.0,1243641.0,1,163875,43565
2571,372306.0,1243641.0,2,3866,43565
2572,13225691.0,1243641.0,1,116,43565
2573,10430194.0,1243641.0,1,143,43565
2574,9530982.0,1243641.0,1,187,43565
2575,16185705.0,1243641.0,1,23,43565
2576,13590388.0,1243641.0,1,123,43565
2577,7543069.0,1243641.0,1,511,43565
2578,5459839.0,15585609.0,9,257338,69
2579,61903.0,15585609.0,4,6850,69
2580,14789065.0,15585609.0,1,548,69
2581,135769.0,15585609.0,1,27742,69
2582,5459839.0,16478970.0,9,257338,41
2583,989920.0,16478970.0,6,3673,41
2584,15350139.0,16478970.0,5,3702,41
2585,6870223.0,16478970.0,1,975,41
2586,11359076.0,16478970.0,3,7611,41
2587,13615635.0,16478970.0,3,1975,41
2588,5459839.0,7624223.0,7,257338,3773
2589,3689450.0,7624223.0,1,22544,3773
2590,2402272.0,7624223.0,38,136328,3773
2591,4756299.0,7624223.0,1,29385,3773
2592,1491895.0,7624223.0,4,660021,3773
2593,298225.0,7624223.0,2,166396,3773
2594,1048572.0,7624223.0,3,564955,3773
2595,669576.0,7624223.0,2,12503,3773
2596,5980430.0,7624223.0,1,7197,3773
2597,1687119.0,7624223.0,1,183806,3773
2598,1377002.0,7624223.0,1,51194,3773
2599,3133316.0,7624223.0,1,33276,3773
2600,9513184.0,7624223.0,1,45532,3773
2601,3082296.0,7624223.0,3,31318,3773
2602,6865932.0,7624223.0,1,21550,3773
2603,5189899.0,7624223.0,1,6408,3773
2604,1563833.0,7624223.0,1,7860,3773
2605,2610061.0,7624223.0,1,20769,3773
2606,6789816.0,7624223.0,2,3536,3773
2607,5459839.0,61903.0,6,257338,6850
2608,15585609.0,61903.0,5,69,6850
2609,5459839.0,14265015.0,6,257338,35
2610,15088809.0,14265015.0,1,1067,35
2611,5459839.0,14951224.0,6,257338,305
2612,2144669.0,14951224.0,4,59560,305
2613,5483526.0,14951224.0,3,44769,305
2614,5841297.0,14951224.0,3,2358,305
2615,3386109.0,14951224.0,3,33403,305
2616,12361700.0,14951224.0,4,10422,305
2617,5459839.0,17143806.0,6,257338,9
2618,1685196.0,17143806.0,1,3791,9
2619,5092008.0,17143806.0,3,790,9
2620,5459839.0,295783.0,5,257338,153438
2621,3689450.0,295783.0,1,22544,153438
2622,383904.0,295783.0,11,178186,153438
2623,1243641.0,295783.0,1,43565,153438
2624,989920.0,295783.0,1,3673,153438
2625,182668.0,295783.0,1,387347,153438
2626,15589009.0,295783.0,9,25,153438
2627,10867454.0,295783.0,2,20546,153438
2628,616443.0,295783.0,1,197168,153438
2629,159145.0,295783.0,4,125538,153438
2630,14032355.0,295783.0,3,4405,153438
2631,1377002.0,295783.0,2,51194,153438
2632,14072420.0,295783.0,6,5492,153438
2633,13658816.0,295783.0,2,2074,153438
2634,14747039.0,295783.0,2,4863,153438
2635,3082296.0,295783.0,2,31318,153438
2636,13762301.0,295783.0,1,8999,153438
2637,1762224.0,295783.0,1,35003,153438
2638,402037.0,295783.0,2,20726,153438
2639,463319.0,295783.0,1,27274,153438
2640,11232091.0,295783.0,3,7206,153438
2641,15447026.0,295783.0,7,243,153438
2642,5648954.0,295783.0,4,37650,153438
